10:100=946:675:5249:4150:52727
10:1100=1139:675:310:322:3847
10:2100=1245:675:125:142:1904
10:3100=1002:675:121:168:1963
10:4100=945:675:100:161:1769
10:5100=865:675:97:139:1724
10:6100=899:675:66:100:1384
10:7100=772:675:57:98:1275
10:8100=793:675:25:71:981
10:9100=774:675:20:81:939
10:10100=813:675:17:67:899
110:100=1075:675:634:750:63187
110:1100=1094:675:563:617:34894
110:2100=932:675:447:524:32743
110:3100=942:675:401:438:31024
110:4100=838:675:380:453:27237
110:5100=729:675:409:494:33664
110:6100=774:675:353:438:26952
110:7100=663:675:443:493:25363
110:8100=600:675:413:436:29769
110:9100=624:675:435:488:27344
110:10100=573:675:452:471:30758
210:100=556:675:848:1084:121072
210:1100=632:675:534:656:86051
210:2100=549:675:570:626:100319
210:3100=551:675:564:612:94517
210:4100=586:675:524:597:79254
210:5100=526:675:534:572:81871
210:6100=559:675:498:545:76087
210:7100=514:675:552:541:79764
210:8100=511:675:486:491:78501
210:9100=472:675:561:561:80578
210:10100=512:675:504:524:73281
DID NOT FINISH

10:100=930:675:5328:4391:53575
10:1100=1159:675:303:329:3761
10:2100=1045:675:172:196:2468
10:3100=977:675:128:167:2021
10:4100=1043:675:79:120:1490
10:5100=944:675:86:124:1554
10:6100=808:675:85:117:1554
10:7100=745:675:65:102:1347
10:8100=738:675:33:85:1049
10:9100=683:675:28:84:1018
10:10100=782:675:15:68:880
20:100=1120:675:3036:2832:61043
20:1100=1301:675:266:351:6025
20:2100=1224:675:151:218:3685
20:3100=1099:675:143:183:3267
20:4100=982:675:127:173:2884
20:5100=983:675:129:163:2661
20:6100=812:675:112:172:2647
20:7100=780:675:62:119:1958
20:8100=740:675:42:101:1581
20:9100=780:675:31:103:1372
20:10100=738:675:32:90:1376
30:100=1130:675:2031:1947:58864
30:1100=1201:675:294:343:9167
30:2100=1252:675:186:241:5131
30:3100=1094:675:179:214:4947
30:4100=1044:675:140:188:4232
30:5100=945:675:97:164:3474
30:6100=827:675:80:147:3088
30:7100=823:675:105:156:2953
30:8100=668:675:67:126:2262
30:9100=696:675:37:136:1885
30:10100=617:675:42:149:2045
40:100=1105:675:1540:1526:61346
40:1100=1179:675:334:412:12381
40:2100=1378:675:170:211:6406
40:3100=1089:675:107:212:4694
40:4100=1023:675:94:177:4407
40:5100=904:675:151:196:4893
40:6100=823:675:129:187:4619
40:7100=764:675:56:141:2995
40:8100=721:675:101:165:3285
40:9100=673:675:55:145:2454
40:10100=703:675:70:128:2571
50:100=1086:675:1276:1300:62385
50:1100=1228:675:361:448:16299
50:2100=1230:675:181:262:8171
50:3100=1163:675:167:222:6702
50:4100=983:675:136:227:5786
50:5100=912:675:208:256:8824
50:6100=812:675:159:228:6156
50:7100=827:675:133:169:5296
50:8100=734:675:64:145:2876
50:9100=670:675:173:209:5961
50:10100=665:675:72:137:2999
60:100=1003:675:1184:1225:68012
60:1100=1309:675:403:451:17626
60:2100=1306:675:180:275:8806
60:3100=1032:675:177:286:8201
60:4100=954:675:125:218:6979
60:5100=969:675:183:216:7767
60:6100=909:675:158:235:6023
60:7100=856:675:46:163:3509
60:8100=690:675:45:163:3484
60:9100=733:675:109:199:4419
60:10100=694:675:87:156:3579
70:100=1010:675:1048:1152:67607
70:1100=1186:675:347:456:20473
70:2100=1013:675:450:515:24111
70:3100=1055:675:234:316:11049
70:4100=1075:675:161:262:8642
70:5100=918:675:210:257:10712
70:6100=872:675:240:294:12605
70:7100=913:675:85:181:4399
70:8100=851:675:119:181:5523
70:9100=688:675:42:150:3591
70:10100=714:675:121:206:5071
80:100=1056:675:960:1000:63875
80:1100=1031:675:501:574:33621
80:2100=885:675:457:490:32837
80:3100=947:675:333:386:20437
80:4100=1013:675:280:345:15960
80:5100=863:675:285:362:15551
80:6100=889:675:85:180:5843
80:7100=773:675:53:184:4829
80:8100=730:675:101:178:4932
80:9100=816:675:121:191:5122
80:10100=682:675:97:181:4431
90:100=1089:675:763:787:60798
90:1100=1017:675:471:562:35505
90:2100=1221:675:249:320:14468
90:3100=988:675:367:443:23270
90:4100=1008:675:260:318:15938
90:5100=778:675:392:446:32038
90:6100=842:675:165:198:13007
90:7100=808:675:98:254:6172
90:8100=687:675:361:433:18666
90:9100=708:675:230:393:10087
90:10100=709:675:113:184:6420
100:100=1027:675:799:838:67274
100:1100=991:675:475:539:33869
100:2100=924:675:422:464:31624
100:3100=819:675:479:551:34834
100:4100=1089:675:155:309:9935
100:5100=914:675:253:320:15979
100:6100=808:675:339:398:17875
100:7100=666:675:368:402:27017
100:8100=692:675:171:256:11030
100:9100=662:675:296:377:17977
100:10100=687:675:285:332:14384
110:100=752:675:924:952:91106
FINISHED
10:300=587:675:3264:2723:33026
10:600=1042:675:807:746:8797
10:900=1165:675:375:381:4450
10:1200=1132:675:295:305:3610
10:1500=1178:675:213:264:2913
10:1800=1131:675:190:200:2618
10:2100=1150:675:151:189:2235
10:2400=1128:675:129:194:2001
10:2700=1040:675:133:189:2085
10:3000=979:675:135:171:2113
20:100=1079:675:2924:2692:58364
20:400=1000:675:1326:1307:27044
20:700=1175:675:561:594:11738
20:1000=1368:675:257:341:5854
20:1300=1336:675:257:252:5174
20:1600=1306:675:198:255:4434
20:1900=1220:675:180:245:4097
20:2200=1195:675:138:199:3412
20:2500=1194:675:152:195:3232
20:2800=1110:675:137:188:3180
20:3100=1042:675:121:205:3177
30:100=1137:675:2014:1908:59588
30:400=1052:675:1123:1117:33494
30:700=1132:675:576:626:16975
30:1000=1314:675:337:417:9753
